PlayerName	Salary	AtBat	Hits	CAtBat	CHits	HmRun	CHmRun	Years	League	Division
-Carney Lansford	1200	591	168	4478	1307	19	113	9	A	W
-Chet Lemon	675	403	101	5150	1429	12	166	12	A	E
-Candy Maldonado	415	405	102	950	231	18	29	6	N	W
-Carmelo Martinez	340	244	58	1335	333	9	49	4	N	W
-Craig Reynolds	416.667	313	78	3742	968	6	35	12	N	W
-Cal Ripken	1350	627	177	3210	927	25	133	6	A	E
-Cory Snyder	90	416	113	416	113	24	24	1	A	E
-Chris Speier	275	155	44	6631	1634	6	98	16	N	E
-Curt Wilkerson	230	236	56	1115	270	0	1	4	A	W
-Dave Anderson	225	216	53	926	210	1	9	4	N	W
-Don Baylor	950	585	139	7546	1982	31	315	17	A	E
-Daryl Boston	75	199	53	514	120	5	8	3	A	W
-Darnell Coles	105	521	142	815	205	20	22	4	A	E
-Dave Concepcion	320	311	81	8247	2198	3	100	17	N	W
-Doug DeCinces	850	512	131	5347	1397	26	221	14	A	W
-Darrell Evans	535	507	122	7761	1947	29	347	18	A	E
-Dwight Evans	933.333	529	137	6661	1785	26	291	15	A	E
-Damaso Garcia	850	424	119	3651	1046	6	32	9	A	E
-Dan Gladden	210	351	97	1258	353	4	16	4	N	W
-Dave Henderson	325	388	103	2174	555	15	80	6	A	W
-Donnie Hill	275	339	96	1064	290	4	11	4	A	W
-Davey Lopes	450	255	70	6311	1661	7	154	15	N	E
-Don Mattingly	1975	677	238	2223	737	31	93	5	A	E
-Dale Murphy	1900	614	163	5017	1388	29	266	11	N	W
-Dwayne Murphy	600	329	83	3828	948	9	145	9	A	W
-Dave Parker	1041.667	637	174	6727	2024	31	247	14	N	W
-Dan Pasqua	110	280	82	428	113	16	25	2	A	E
-Darrell Porter	260	155	41	5409	1338	12	181	16	A	W
-Dick Schofield	475	458	114	1350	298	13	28	4	A	W
-Don Slaught	431.5	314	83	1457	405	13	28	5	A	W
-Darryl Strawberry	1220	475	123	1810	471	27	108	4	N	E
-Dale Sveum	70	317	78	317	78	7	7	1	A	E
-Danny Tartabull	145	511	138	592	164	25	28	3	A	W
-Denny Walling	595	382	119	2133	594	13	41	12	N	W
-Dave Winfield	1861.46	565	148	7287	2083	24	305	14	A	E
-Eric Davis	300	415	115	711	184	27	45	3	N	W
-Eddie Milner	490	424	110	2130	544	15	38	7	N	W
-Eddie Murray	2460	495	151	5624	1679	17	275	10	A	E
-Ed Romero	375	233	49	1350	336	2	7	8	A	E
-Frank White	750	566	154	6100	1583	22	131	14	A	W
-George Bell	1175	641	198	2129	610	31	92	5	A	E
-Glenn Braggs	70	215	51	215	51	4	4	1	A	E
-George Brett	1500	441	128	6675	2095	16	209	14	A	W
-Greg Brock	385	325	76	1506	351	16	71	5	N	W
-Gary Carter	1925.571	490	125	6063	1646	24	271	13	N	E
-Glenn Davis	215	574	152	985	260	31	53	3	N	W
-Gary Gaetti	900	596	171	2862	728	34	107	6	A	W
-Greg Gagne	155	472	118	793	187	12	14	4	A	W
-George Hendrick	700	283	77	6840	1910	14	259	16	A	W
-Glenn Hubbard	535	408	94	3573	866	4	59	9	N	W
-Garth Iorg	362.5	327	85	2140	568	3	16	8	A	E
-Gary Matthews	733.333	370	96	6986	1972	21	231	15	N	E
-Graig Nettles	200	354	77	8716	2172	16	384	20	N	W
-Gary Pettis	400	539	139	1469	369	5	12	5	A	W
-Gary Redus	400	340	84	1516	376	11	42	5	N	E
-Garry Templeton	737.5	510	126	5562	1578	2	44	11	N	W
-Greg Walker	500	282	78	1649	453	13	73	5	A	W
-Gary Ward	600	380	120	3118	900	5	92	8	A	W
-Glenn Wilson	662.5	584	158	2358	636	15	58	5	N	E
-Harold Baines	950	570	169	3754	1077	21	140	7	A	W
-Hubie Brooks	750	306	104	2954	822	14	55	7	N	E
